,date,entity,tweet,username,avatar,data-conversation-id,data-item-id,predict
0,2020-02-18,Bitfinex,"  2020 #bitcoin halving will not be an easy ride:
- US/Mnuchin: draconian anti-btc laws
- Craig Wright: legal & patent FUD
- Hacks: like 2016 halving (DAO,Bitfinex)
- MtGox & PlusToken selling narrative
- Miner death spiral & futures FUD
- Forks
Risk vs S2F:
medium.com/@100trillionUS…
",@100trillionUSD,https://pbs.twimg.com/profile_images/1117537706584702982/lMHLne7O_normal.jpg,1.2297268350989107e+18,1.2297268350989107e+18,0
1,2020-05-21,Bitfinex,"  Just after 2016 halving we had:
- Bitfinex exchange hack
- DAO (ETH) hack

Now after 2020 halving we have:
- BlockFi data hack: Name, Email, DOB, Address, Activity
- BitMex exchange hit with a major lawsuit, systems down
- Satoshi moving coins FUD
- MSM dark web FUD

Coincidence? pic.twitter.com/WsyMvRFvuw
",@100trillionUSD,https://pbs.twimg.com/profile_images/1117537706584702982/lMHLne7O_normal.jpg,1.2633925479440998e+18,1.2633925479440998e+18,0
2,2020-05-21,Bitfinex,"  Just after 2016 halving we had:
- Bitfinex exchange hack
- DAO (ETH) hack

Now after 2020 halving we have:
- BlockFi data hack: Name, Email, DOB, Address, Activity
- BitMex exchange hit with a major lawsuit, systems down
- Satoshi moving coins FUD
- MSM dark web FUD

Coincidence? pic.twitter.com/WsyMvRFvuw
",@100trillionUSD,https://pbs.twimg.com/profile_images/1117537706584702982/lMHLne7O_normal.jpg,1.2633925479440998e+18,1.2633925479440998e+18,0
3,2020-02-18,Bitfinex,"  2020 #bitcoin halving will not be an easy ride:
- US/Mnuchin: draconian anti-btc laws
- Craig Wright: legal & patent FUD
- Hacks: like 2016 halving (DAO,Bitfinex)
- MtGox & PlusToken selling narrative
- Miner death spiral & futures FUD
- Forks
Risk vs S2F:
medium.com/@100trillionUS…
",@100trillionUSD,https://pbs.twimg.com/profile_images/1117537706584702982/lMHLne7O_normal.jpg,1.2297268350989107e+18,1.2297268350989107e+18,0
4,2020-05-21,Bitfinex,"  Just after 2016 halving we had:
- Bitfinex exchange hack
- DAO (ETH) hack

Now after 2020 halving we have:
- BlockFi data hack: Name, Email, DOB, Address, Activity
- BitMex exchange hit with a major lawsuit, systems down
- Satoshi moving coins FUD
- MSM dark web FUD

Coincidence? pic.twitter.com/WsyMvRFvuw
",@100trillionUSD,https://pbs.twimg.com/profile_images/1117537706584702982/lMHLne7O_normal.jpg,1.2633925479440998e+18,1.2633925479440998e+18,0
5,2020-02-18,Bitfinex,"  2020 #bitcoin halving will not be an easy ride:
- US/Mnuchin: draconian anti-btc laws
- Craig Wright: legal & patent FUD
- Hacks: like 2016 halving (DAO,Bitfinex)
- MtGox & PlusToken selling narrative
- Miner death spiral & futures FUD
- Forks
Risk vs S2F:
medium.com/@100trillionUS…
",@100trillionUSD,https://pbs.twimg.com/profile_images/1117537706584702982/lMHLne7O_normal.jpg,1.2297268350989107e+18,1.2297268350989107e+18,0
6,2020-05-21,Bitfinex,"  Just after 2016 halving we had:
- Bitfinex exchange hack
- DAO (ETH) hack

Now after 2020 halving we have:
- BlockFi data hack: Name, Email, DOB, Address, Activity
- BitMex exchange hit with a major lawsuit, systems down
- Satoshi moving coins FUD
- MSM dark web FUD

Coincidence? pic.twitter.com/WsyMvRFvuw
",@100trillionUSD,https://pbs.twimg.com/profile_images/1117537706584702982/lMHLne7O_normal.jpg,1.2633925479440998e+18,1.2633925479440998e+18,0
7,2020-02-18,Bitfinex,"  2020 #bitcoin halving will not be an easy ride:
- US/Mnuchin: draconian anti-btc laws
- Craig Wright: legal & patent FUD
- Hacks: like 2016 halving (DAO,Bitfinex)
- MtGox & PlusToken selling narrative
- Miner death spiral & futures FUD
- Forks
Risk vs S2F:
medium.com/@100trillionUS…
",@100trillionUSD,https://pbs.twimg.com/profile_images/1117537706584702982/lMHLne7O_normal.jpg,1.2297268350989107e+18,1.2297268350989107e+18,0
8,2020-05-21,Bitfinex,"  Just after 2016 halving we had:
- Bitfinex exchange hack
- DAO (ETH) hack

Now after 2020 halving we have:
- BlockFi data hack: Name, Email, DOB, Address, Activity
- BitMex exchange hit with a major lawsuit, systems down
- Satoshi moving coins FUD
- MSM dark web FUD

Coincidence? pic.twitter.com/WsyMvRFvuw
",@100trillionUSD,https://pbs.twimg.com/profile_images/1117537706584702982/lMHLne7O_normal.jpg,1.2633925479440998e+18,1.2633925479440998e+18,0
9,2020-02-18,Bitfinex,"  2020 #bitcoin halving will not be an easy ride:
- US/Mnuchin: draconian anti-btc laws
- Craig Wright: legal & patent FUD
- Hacks: like 2016 halving (DAO,Bitfinex)
- MtGox & PlusToken selling narrative
- Miner death spiral & futures FUD
- Forks
Risk vs S2F:
medium.com/@100trillionUS…
",@100trillionUSD,https://pbs.twimg.com/profile_images/1117537706584702982/lMHLne7O_normal.jpg,1.2297268350989107e+18,1.2297268350989107e+18,0
10,2020-05-21,Bitfinex,"  Just after 2016 halving we had:
- Bitfinex exchange hack
- DAO (ETH) hack

Now after 2020 halving we have:
- BlockFi data hack: Name, Email, DOB, Address, Activity
- BitMex exchange hit with a major lawsuit, systems down
- Satoshi moving coins FUD
- MSM dark web FUD

Coincidence? pic.twitter.com/WsyMvRFvuw
",@100trillionUSD,https://pbs.twimg.com/profile_images/1117537706584702982/lMHLne7O_normal.jpg,1.2633925479440998e+18,1.2633925479440998e+18,0
