,article_url,author,author_url,category,count,date_time,date_time_all,date_time_first,domain,entity,excerpt,image_url,source_id,text,title
3,https://cryptoslate.com/founder-of-compound-votes-against-using-wrapped-bitcoin-as-collateral-deems-wbtc-risky/,Priyeshu Garg,,,1.0,2020-07-04 01:53:34.909614,[Timestamp('2020-07-04 01:53:34.909614')],,cryptoslate,Compound,"Robert Leshner, the founder of Compound, has voted against the latest proposal to increase the WBTC collateral factor on the platform from 0 to 65 percent. ",,post-138626,"Founder of Compound votes against using wrapped Bitcoin as collateral, deems WBTC “risky” Robert Leshner, the founder of Compound, has voted against the latest proposal to increase the WBTC collateral factor on the platform from 0 to 65 percent. ","Founder of Compound votes against using wrapped Bitcoin as collateral, deems WBTC “risky”"
4,https://cryptoslate.com/defis-compound-comp-has-crashed-50-in-two-weeks-and-it-may-drop-further/,Nick Chong,,,1.0,2020-07-04 01:53:34.909800,[Timestamp('2020-07-04 01:53:34.909800')],,cryptoslate,Compound,"When Ethereum-based finance protocol Compound launched its native token COMP in June, it traded at $30. ",,post-138375,"DeFi’s Compound (COMP) has crashed 50% in two weeks—and it may drop further When Ethereum-based finance protocol Compound launched its native token COMP in June, it traded at $30. ",DeFi’s Compound (COMP) has crashed 50% in two weeks—and it may drop further
5,https://cryptoslate.com/latest-compound-proposal-aims-to-resolve-issue-soaking-up-80-of-bats-liquid-supply/,Priyeshu Garg,,,1.0,2020-07-04 01:53:35.970603,[Timestamp('2020-07-04 01:53:35.970603')],,cryptoslate,Compound,"A previous Compound proposal for COMP yield farming caused a mess in the DeFi market, pushing users to yield farm only in the markets with the highest interest rates. ",,post-138010,"Latest Compound proposal aims to resolve issue soaking up 80% of BAT’s liquid supply A previous Compound proposal for COMP yield farming caused a mess in the DeFi market, pushing users to yield farm only in the markets with the highest interest rates. ",Latest Compound proposal aims to resolve issue soaking up 80% of BAT’s liquid supply
6,https://cryptoslate.com/compound-comp-sees-massive-surge-in-on-chain-activity-despite-23-price-slide/,Cole Petersen,,,1.0,2020-07-04 01:53:35.971014,[Timestamp('2020-07-04 01:53:35.971014')],,cryptoslate,Compound,"The recent growth of the DeFi sector has primarily been driven by the recent launch of Compound, which has seen massive inflows of capital and new users due to the bourgeoning “yield farming” trend. ",,post-137485,"Compound (COMP) sees massive surge in on-chain activity despite 23% price slide The recent growth of the DeFi sector has primarily been driven by the recent launch of Compound, which has seen massive inflows of capital and new users due to the bourgeoning “yield farming” trend. ",Compound (COMP) sees massive surge in on-chain activity despite 23% price slide
0,https://cryptoslate.com/crypto-com-launches-cro-centric-defi-swap-as-competition-builds-up/,Shaurya Malwa,,,1.0,2020-09-02 01:53:54.010474,[Timestamp('2020-09-02 01:53:54.010474')],,cryptoslate,Crypto.com,"Hong Kong-based crypto exchange and wallet provider Crypto dot com announced its new DeFi Swap service for all users, as per an announcement today. ",,post-171803,"Crypto.com launches CRO-centric DeFi Swap as competition builds up Hong Kong-based crypto exchange and wallet provider Crypto dot com announced its new DeFi Swap service for all users, as per an announcement today. ",Crypto.com launches CRO-centric DeFi Swap as competition builds up
1,https://cryptoslate.com/crypto-com-launches-trading-competition-with-a-200000-prize-pool/,Priyeshu Garg,,,1.0,2020-09-02 01:53:54.010670,[Timestamp('2020-09-02 01:53:54.010670')],,cryptoslate,Crypto.com,"Cryptocurrency exchange and payments platform Crypto dot com has launched a competition where the users with the highest taker transaction volumes will get a chance to win up to $10,000 worth of CRO tokens. ",,post-171294,"Crypto.com launches trading competition with a $200,000 prize pool Cryptocurrency exchange and payments platform Crypto dot com has launched a competition where the users with the highest taker transaction volumes will get a chance to win up to $10,000 worth of CRO tokens. ","Crypto.com launches trading competition with a $200,000 prize pool"
2,https://cryptoslate.com/crypto-com-will-sell-bitcoin-at-50-off-in-september-heres-why/,Shaurya Malwa,,,1.0,2020-08-03 01:53:54.010862,[Timestamp('2020-08-03 01:53:54.010862')],,cryptoslate,Crypto.com,"Hong Kong-based crypto exchange and card provider Crypto dot com is launching an attractive competition for Bitcoin fanatics in September, ahead of its “public beta” exit. ",,post-141992,"Crypto.com will sell Bitcoin at “50% off” in September, here’s why Hong Kong-based crypto exchange and card provider Crypto dot com is launching an attractive competition for Bitcoin fanatics in September, ahead of its “public beta” exit. ","Crypto.com will sell Bitcoin at “50% off” in September, here’s why"
3,https://cryptoslate.com/binance-gets-the-third-ever-crypto-emoji-on-twitter-following-crypto-com-and-bitcoin/,Priyeshu Garg,,,1.0,2020-07-04 01:53:54.011239,[Timestamp('2020-07-04 01:53:54.011239')],,cryptoslate,Crypto.com,"Binance, one of the largest crypto exchanges in the world, has officially received the third ever branded Twitter emoji in the industry, after Bitcoin and Crypto dot com. ",,post-138087,"Binance gets the third-ever crypto emoji on Twitter, following Crypto.com and Bitcoin Binance, one of the largest crypto exchanges in the world, has officially received the third ever branded Twitter emoji in the industry, after Bitcoin and Crypto dot com. ","Binance gets the third-ever crypto emoji on Twitter, following Crypto.com and Bitcoin"
4,https://cryptoslate.com/crypto-com-will-run-discounted-sale-of-cardano-ada-at-50-percent-off/,News Desk,,,1.0,2020-06-04 01:53:55.184440,[Timestamp('2020-06-04 01:53:55.184440')],,cryptoslate,Crypto.com,Cryptocurrency payment platform Crypto dot com announced the listing of Cardano (ADA) on The Syndicate platform. ,,post-134705,Crypto.com will run discounted sale of Cardano (ADA) at 50 percent off Cryptocurrency payment platform Crypto dot com announced the listing of Cardano (ADA) on The Syndicate platform. ,Crypto.com will run discounted sale of Cardano (ADA) at 50 percent off
5,https://cryptoslate.com/crypto-com-announces-a-halving-special-with-bitcoin-50-off-but-supply-is-limited/,Priyeshu Garg,,,1.0,2020-05-05 01:53:55.184683,[Timestamp('2020-05-05 01:53:55.184683')],,cryptoslate,Crypto.com,"Cryptocurrency payment platform Crypto dot com announced the launch of a special Bitcoin halving offer set to take place on 06:00 UTC, May 12. ",,post-132105,"Crypto.com announces a “Halving Special” with Bitcoin 50% off, but supply is limited Cryptocurrency payment platform Crypto dot com announced the launch of a special Bitcoin halving offer set to take place on 06:00 UTC, May 12. ","Crypto.com announces a “Halving Special” with Bitcoin 50% off, but supply is limited"
6,https://cryptoslate.com/crypto-com-survey-finds-54-of-people-would-trust-a-government-issued-digital-currency/,Priyeshu Garg,,,1.0,2020-04-05 01:53:55.184938,[Timestamp('2020-04-05 01:53:55.184938')],,cryptoslate,Crypto.com,"A survey jointly conducted by Crypto dot com and The Economist examined the general population’s opinion of cryptocurrencies, finding that 24 percent of respondents believed the main use for cryptocurrencies was “short-term investment.” However, over half of the respondents said they would trust a digital currency issued by their country’s central bank. ",,post-130706,"Crypto.com survey finds 54% of people would trust a government-issued digital currency A survey jointly conducted by Crypto dot com and The Economist examined the general population’s opinion of cryptocurrencies, finding that 24 percent of respondents believed the main use for cryptocurrencies was “short-term investment.” However, over half of the respondents said they would trust a digital currency issued by their country’s central bank. ",Crypto.com survey finds 54% of people would trust a government-issued digital currency
7,https://cryptoslate.com/amidst-covid-19-crypto-com-waives-off-credit-card-fees/,Priyeshu Garg,,,1.0,2020-04-05 01:53:55.185146,[Timestamp('2020-04-05 01:53:55.185146')],,cryptoslate,Crypto.com,Digital payment provider Crypto dot com will be waiving the 3.5 percent credit card fee for crypto purchases until June. ,,post-129637,"Amidst COVID-19, Crypto.com is waiving credit card fees for crypto purchases Digital payment provider Crypto dot com will be waiving the 3.5 percent credit card fee for crypto purchases until June. ","Amidst COVID-19, Crypto.com is waiving credit card fees for crypto purchases"
8,https://cryptoslate.com/crypto-com-enables-invoice-creation-in-btc-eth-xrp-ltc-and-eth/,Priyeshu Garg,,,1.0,2020-04-05 01:53:55.185337,[Timestamp('2020-04-05 01:53:55.185337')],,cryptoslate,Crypto.com,Cryptocurrency payment platform Crypto dot com announced the launch of a new invoicing feature. ,,post-128787,"Crypto.com enables invoice creation in BTC, ETH, XRP and LTC Cryptocurrency payment platform Crypto dot com announced the launch of a new invoicing feature. ","Crypto.com enables invoice creation in BTC, ETH, XRP and LTC"
9,https://cryptoslate.com/as-the-world-turns-to-online-shopping-crypto-com-offers-rewards-on-gift-card-purchases-for-whole-foods-walmart-amazon-and-more/,Priyeshu Garg,,,1.0,2020-03-06 01:53:55.185523,[Timestamp('2020-03-06 01:53:55.185523')],,cryptoslate,Crypto.com,Digital payment provider Crypto dot com has introduced rewards on purchases using its gift cards. ,,post-128139,"As the world turns to online shopping, Crypto.com offers rewards on gift card purchases for Whole Foods, Walmart, Amazon and more Digital payment provider Crypto dot com has introduced rewards on purchases using its gift cards. ","As the world turns to online shopping, Crypto.com offers rewards on gift card purchases for Whole Foods, Walmart, Amazon and more"
0,https://cryptoslate.com/the-dapp-market-is-getting-so-big-its-putting-google-and-apple-at-risk/,Priyeshu Garg,,,1.0,2020-01-06 01:54:10.585297,[Timestamp('2020-01-06 01:54:10.585297')],,cryptoslate,DApp,"After the DApp browser MetaMask got removed from the Google Play Store, Apple followed suit and is forcing crypto exchange Coinbase to remove the DApp browser feature from its iOS app. ",,post-122017,"The DApp market is getting so big, it’s making Google and Apple worry After the DApp browser MetaMask got removed from the Google Play Store, Apple followed suit and is forcing crypto exchange Coinbase to remove the DApp browser feature from its iOS app. ","The DApp market is getting so big, it’s making Google and Apple worry"
0,https://cryptoslate.com/leading-ethereum-dex-curve-begins-dabbling-in-layer-two-solutions/,Nick Chong,,,1.0,2020-10-11 01:54:19.453160,[Timestamp('2020-10-11 01:54:19.453160')],,cryptoslate,DEX,"Ethereum transaction fees have dropped dramatically since the summer highs when gas cost upwards of 1,000 Gwei. ",,post-173892,"Leading Ethereum dex Curve begins dabbling in layer-two solutions Ethereum transaction fees have dropped dramatically since the summer highs when gas cost upwards of 1,000 Gwei. ",Leading Ethereum dex Curve begins dabbling in layer-two solutions
1,https://cryptoslate.com/this-tezos-dex-is-bringing-defi-to-xtz-holders/,Shaurya Malwa,,,1.0,2020-10-04 01:54:19.453568,[Timestamp('2020-10-04 01:54:19.453568')],,cryptoslate,DEX,A new decentralized exchange (DEX) built on blockchain protocol Tezos promises lower fees and ultra-fast transactions for all upcoming tokens built on the blockchain. ,,post-173447,This Tezos DEX is bringing DeFi to XTZ holders A new decentralized exchange (DEX) built on blockchain protocol Tezos promises lower fees and ultra-fast transactions for all upcoming tokens built on the blockchain. ,This Tezos DEX is bringing DeFi to XTZ holders
2,https://cryptoslate.com/looping-becomes-the-first-dex-to-integrate-band-protocols-cross-chain-oracles/,Priyeshu Garg,,,1.0,2020-09-02 01:54:19.453768,[Timestamp('2020-09-02 01:54:19.453768')],,cryptoslate,DEX,Crypto company Looping has become the first payment protocol and decentralized exchange to integrate Band Protocol’s cross-chain data oracle. ,,post-171247,Looping becomes the first DEX to integrate Band Protocol’s cross-chain oracles Crypto company Looping has become the first payment protocol and decentralized exchange to integrate Band Protocol’s cross-chain data oracle. ,Looping becomes the first DEX to integrate Band Protocol’s cross-chain oracles
