date,entity,score
18/1/20,Coinbase,0.731107205
28/1/20,Coinbase,0.545638871
31/1/20,Coinbase,0.538514611
19/2/20,Coinbase,0.541992803
25/2/20,Coinbase,86.5081219
26/2/20,Coinbase,0.712399666
27/2/20,Coinbase,0.648146166
28/2/20,Coinbase,0.654973745
2/3/20,Coinbase,0.513767678
3/3/20,Coinbase,27.48678262
16/3/20,Coinbase,0.707139043
18/3/20,Coinbase,0.626859548
27/3/20,Coinbase,0.603003236
6/5/20,Coinbase,2.029023408
9/5/20,Coinbase,4.999492621
21/5/20,Coinbase,0.596898248
22/5/20,Coinbase,1.164697945
23/5/20,Coinbase,0.664488225
27/5/20,Coinbase,0.543334538
6/6/20,Coinbase,0.573014328
8/6/20,Coinbase,0.63342567
12/6/20,Coinbase,0.558926364
14/6/20,Coinbase,0.609670109
17/6/20,Coinbase,0.749565459
23/6/20,Coinbase,0.551163755
27/6/20,Coinbase,0.678505855
1/7/20,Coinbase,0.637796272
15/3/20,Coincheck,99.16817477
29/6/20,Coincheck,97.04908229
13/3/20,Coinone,1.004461329
17/6/20,Coinone,0.523699432
3/1/20,Compound,3.037972609
8/4/20,Compound,0.822886813
15/6/20,Compound,0.570911111
27/6/20,Compound,0.678505855
11/5/20,Crypto.com,0.557228255
16/5/20,Crypto.com,0.670032685
29/6/20,Crypto.com,7.929352839
3/4/20,CryptoKitties,0.511427874
24/1/20,DEX,19.24537078
17/2/20,DEX,0.690913632
11/6/20,DEX,1.175165622
19/6/20,DeversiFi,0.559617583
27/5/20,ENS,0.591174417
12/6/20,FCoin,98.5978876
3/1/20,FOAM,1.01213545
15/1/20,FOAM,0.864284184
22/2/20,FOAM,37.70267313
17/6/20,Gate.io,0.656070841
28/1/20,Gemini,0.73337173
29/3/20,Gemini,0.903816933
6/4/20,Gemini,0.949793184
25/4/20,Gemini,2.007267013
8/5/20,Gemini,0.901666144
23/5/20,Gemini,4.77861521
12/6/20,Hotbit,0.543963755
16/6/20,Hotbit,0.712824257
2/3/20,Huobi,0.57068514
17/6/20,Huobi,0.513205345
21/4/20,Hydro,1.917241569
28/4/20,Hydro,1.355884693
15/5/20,Hydro,0.852279309
4/6/20,Hydro,0.925823502
17/6/20,IDEX,0.567931941
7/1/20,Kraken,42.50462562
1/2/20,Kraken,47.45310444
6/2/20,Kraken,0.926314152
5/3/20,Kraken,2.114989172
12/6/20,Kraken,98.36922601
13/6/20,Kraken,0.706487548
17/6/20,Kraken,94.09356247
